# ---
# domain: UConstRange
# op: CountRZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 12]
# - [16, 20]
# - [32, 166]
# - [64, 146]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
32	[1, 2147483]	[0, 21]	2
32	[64, 64]	[6, 6]	2
32	[32, 32]	[5, 5]	2
32	[16, 32768]	[0, 15]	2
32	[4294967287, 4294967294]	[0, 3]	2
32	[4294967280, 4294967294]	[0, 4]	2
32	[1, 131071]	[0, 16]	2
32	[1, 4294950895]	[0, 31]	2
32	[1048576, 2097151]	[0, 20]	2
32	[1, 3]	[0, 1]	2
32	[0, 120]	[0, 6]	2
32	[8388608, 16777215]	[0, 23]	2
32	[0, 4096]	[0, 12]	2
32	[0, 32512]	[0, 14]	2
32	[1, 32512]	[0, 14]	2
32	[2, 2147483648]	[0, 31]	2
32	[0, 30]	[0, 4]	2
32	[1, 30]	[0, 4]	2
32	[8, 65535]	[0, 15]	2
32	[0, 1073741823]	[0, 29]	2
32	[8, 4294967295]	[0, 31]	2
32	[0, 128]	[0, 7]	2
32	[8, 2147483647]	[0, 30]	2
32	[8, 16]	[0, 4]	1
32	[4, 16]	[0, 4]	1
32	[1008, 1008]	[4, 4]	1
32	[1, 49133]	[0, 15]	1
32	[1, 32766]	[0, 14]	1
32	[4, 8]	[0, 3]	1
32	[4096, 4096]	[12, 12]	1
32	[4096, 16384]	[0, 14]	1
32	[0, 2147483645]	[0, 30]	1
32	[1, 2147483649]	[0, 31]	1
32	[0, 72]	[0, 6]	1
32	[0, 88]	[0, 6]	1
32	[2, 64]	[0, 6]	1
32	[0, 126]	[0, 6]	1
32	[32, 64]	[0, 6]	1
32	[128, 128]	[7, 7]	1
32	[1, 1023]	[0, 9]	1
32	[0, 1023]	[0, 9]	1
64	[1, 18446744073709551615]	[0, 63]	55013
64	[0, 18446744073709551615]	[0, 63]	25709
64	[1, 9223372036854775807]	[0, 62]	6703
64	[0, 9223372036854775807]	[0, 62]	3281
64	[1, 18446744073709551614]	[0, 63]	2314
