# ---
# domain: UConstRange
# op: CountLZeroUndef
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 2]
# - [16, 9]
# - [32, 227]
# - [64, 311]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
32	[8, 801]	[22, 28]	3
32	[8, 4001]	[20, 28]	3
32	[8, 2441]	[20, 28]	3
32	[8, 241]	[24, 28]	3
32	[8, 8]	[28, 28]	3
32	[1, 1048575]	[12, 31]	3
32	[1, 1075]	[21, 31]	3
32	[0, 4294901760]	[0, 31]	3
32	[1, 31]	[27, 31]	3
32	[0, 63]	[26, 31]	3
32	[65536, 4294967295]	[0, 15]	3
32	[1, 129]	[24, 31]	2
32	[2, 8]	[28, 30]	2
32	[0, 2]	[30, 31]	2
32	[0, 4]	[29, 31]	2
32	[0, 8]	[28, 31]	2
32	[0, 3]	[30, 31]	2
32	[1, 2147483546]	[1, 31]	2
32	[0, 33554552]	[6, 31]	2
32	[4, 2047]	[21, 29]	2
32	[4, 4294967283]	[0, 29]	2
32	[3, 4294967283]	[0, 30]	2
32	[2, 4294967283]	[0, 30]	2
32	[1, 1073741823]	[2, 31]	2
32	[0, 16383]	[18, 31]	2
32	[1, 4294967288]	[0, 31]	2
32	[0, 4294967288]	[0, 31]	2
32	[8, 4294967295]	[0, 28]	2
32	[4, 4294967295]	[0, 29]	2
32	[1335, 7973]	[19, 21]	2
32	[1, 385]	[23, 31]	2
32	[1, 3073]	[20, 31]	2
32	[8192, 2147483647]	[1, 18]	2
32	[6, 6]	[29, 29]	2
32	[5, 6]	[29, 29]	2
32	[5, 7]	[29, 29]	2
32	[33, 65]	[25, 26]	2
32	[1, 262144]	[13, 31]	2
32	[3, 4]	[29, 30]	2
32	[0, 536870911]	[3, 31]	2
32	[16777216, 251658240]	[4, 7]	2
32	[1, 32769]	[16, 31]	1
32	[11, 11]	[28, 28]	1
32	[9, 99]	[25, 28]	1
32	[10, 101]	[25, 28]	1
32	[9, 999]	[22, 28]	1
32	[10, 1001]	[22, 28]	1
32	[1, 7]	[29, 31]	1
32	[1, 131]	[24, 31]	1
32	[64, 3071]	[20, 25]	1
32	[0, 65539]	[15, 31]	1
32	[0, 2147549182]	[0, 31]	1
32	[256, 66558]	[15, 23]	1
32	[134217727, 134217727]	[5, 5]	1
32	[3, 2097151]	[11, 30]	1
32	[0, 2097151]	[11, 31]	1
32	[1, 134217727]	[5, 31]	1
32	[0, 134217727]	[5, 31]	1
32	[64, 255]	[24, 25]	1
32	[7, 4294967295]	[0, 29]	1
32	[2, 134217727]	[5, 30]	1
32	[0, 1048575]	[12, 31]	1
32	[1, 32779]	[16, 31]	1
32	[1, 3221225470]	[0, 31]	1
32	[1, 3221225472]	[0, 31]	1
32	[8192, 4294967295]	[0, 18]	1
32	[262144, 4294901760]	[0, 13]	1
32	[2, 536870912]	[2, 30]	1
32	[2, 1073741825]	[1, 30]	1
32	[3, 2147483648]	[0, 30]	1
32	[101, 101]	[25, 25]	1
32	[101, 129]	[24, 25]	1
32	[65, 65]	[25, 25]	1
32	[65, 129]	[24, 25]	1
32	[17, 17]	[27, 27]	1
32	[1, 256]	[23, 31]	1
32	[2, 7864202]	[9, 30]	1
32	[32768, 2147483647]	[1, 16]	1
32	[128, 255]	[24, 24]	1
32	[511, 2147483645]	[1, 23]	1
32	[0, 4095]	[20, 31]	1
32	[16384, 16384]	[17, 17]	1
64	[1, 18446744073709551615]	[0, 63]	72613
