# ---
# domain: KnownBits
# op: mlir/Operations/CountRZeroUndef.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [2, 1]
# - [4, 1]
# - [8, 7]
# - [16, 10]
# - [32, 78]
# - [64, 60]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
64	?0000000?0000000?0000000?0000000?0000000?0000000?0000000?0000000	0000000000000000000000000000000000000000000000000000000000???111	639
64	00000000000001??????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	599
64	0011001100110011001100110011001100110011????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	588
64	001100110011001100110011001100110011001100110011????????????????	00000000000000000000000000000000000000000000000000000000000?????	447
64	00110011001100110011001100110011????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	375
64	????????????????????????????????????????????????????????0000????	0000000000000000000000000000000000000000000000000000000000??????	364
64	????????????????????????????????0???????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	354
64	1???????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	330
64	0000000?0000000?0000000?0000000?0000000?0000000?0000000?0000000?	0000000000000000000000000000000000000000000000000000000000???000	262
64	00000000000000000000000000000000000000000000000000000000????????	0000000000000000000000000000000000000000000000000000000000000???	258
64	00000000000?????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	251
64	000000000000000000000000000000000000000000000000????????????????	000000000000000000000000000000000000000000000000000000000000????	236
64	??000000000000000000000000000000?0000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000?1111?	232
64	00000000000000000000000000000000000000000000000000000000??000000	000000000000000000000000000000000000000000000000000000000000011?	219
64	00000000000000000000000000000000000000000000000000000000000??000	0000000000000000000000000000000000000000000000000000000000000???	200
64	0000000000000000000000000000000000000000000000000000000000000???	00000000000000000000000000000000000000000000000000000000000000??	165
64	000000000000000000000000000000000?000000000?000000000?0000000000	00000000000000000000000000000000000000000000000000000000000????0	160
64	00110011001100110011001100110011001100110011001100110011????????	000000000000000000000000000000000000000000000000000000000000????	129
64	00000000000000000000000000000000000000??????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	127
64	0000000000000000000000000000000?00000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000100000	124
64	000000000001????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	121
64	000000000000000000000000000000000000000000000000000000000000????	00000000000000000000000000000000000000000000000000000000000000??	114
64	11111111111111111111111111111111????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	89
64	????????????????????????????????1???????????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	87
64	00000000000000000000000000000000000000000000000000000000000???0?	0000000000000000000000000000000000000000000000000000000000000???	80
64	000000000000000000000000000000000?000000000?000000000?000000000?	00000000000000000000000000000000000000000000000000000000000????0	63
64	0000000000000000000000000000000000000000000000??????????????????	00000000000000000000000000000000000000000000000000000000000?????	56
64	000000000000000000000000000000000000000000000000000000000000??00	000000000000000000000000000000000000000000000000000000000000001?	45
64	0000000000000000000000000000000000000000000000000000000?00??000?	000000000000000000000000000000000000000000000000000000000000??0?	39
64	?????????????????????????????????000000000000000000000000000000?	0000000000000000000000000000000000000000000000000000000000??????	28
64	0000000000000000000000000000000000000000000000000000000000???000	0000000000000000000000000000000000000000000000000000000000000???	24
64	00000000000000000000000000000000?????????????????????????????000	00000000000000000000000000000000000000000000000000000000000?????	24
64	0000000000000000000000000000000000000000000000000???????????????	000000000000000000000000000000000000000000000000000000000000????	23
64	11111111111111111111111111111111111111111111111111111111????????	000000000000000000000000000000000000000000000000000000000000????	23
64	111111111111111111111111111111111111111111111111????????????????	00000000000000000000000000000000000000000000000000000000000?????	23
64	000000000000000000000000000000000???????????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	21
64	?????????????1??????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	21
64	????????????????????????????????00000000000000000000000000000000	00000000000000000000000000000000000000000000000000000000001?????	21
64	?????????????????????????????????0000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000??????	16
64	????????????????????????????????0000000000000000000000000000000?	0000000000000000000000000000000000000000000000000000000000??????	14
64	0000000000000000000000000000000000000000000000000000000000000?0?	00000000000000000000000000000000000000000000000000000000000000?0	12
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000??????	10
64	000000000000000000000000000000000000000000000000000000000???????	0000000000000000000000000000000000000000000000000000000000000???	8
64	0000000000000000000000000000000000??????????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	6
64	0000000000000000000000000000000000000000000000000000000000000000	(bottom)	5
64	00000000000000000000000000000000000000000000000000000000000?????	0000000000000000000000000000000000000000000000000000000000000???	4
64	0000000000000000000000000000000000000000000000000000000000000001	0000000000000000000000000000000000000000000000000000000000000000	1
64	00000000000000000000000000000000?0000000?0000000?0000000?0000000	00000000000000000000000000000000000000000000000000000000000??111	1
128	????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000???????	162
