# ---
# domain: KnownBits
# op: mlir/Operations/CountLZeroUndef.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [8, 1]
# - [16, 3]
# - [32, 63]
# - [64, 77]
# - [128, 2]
# hbw: []
# ---
bw	arg_0	ideal	count
64	???????????????????????????????????????????????????1111111111111	0000000000000000000000000000000000000000000000000000000000??????	336
64	0000000000000000000000000000??????????????????????????????11111?	0000000000000000000000000000000000000000000000000000000000??????	328
64	00000000000?????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	324
64	???????????????????????????????????????????????????????????????0	0000000000000000000000000000000000000000000000000000000000??????	286
64	?00??0?0??000???00?000??00000?00?000?00????0?0000000000000000000	0000000000000000000000000000000000000000000000000000000000??????	243
64	000000??????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	195
64	00000000000000000000000000000000000??????????????????????????000	00000000000000000000000000000000000000000000000000000000001?????	192
64	00000000000000000000000000000000000000000000000?????????????????	00000000000000000000000000000000000000000000000000000000001?????	183
64	0000000000000000000000000000000000000000000000000000000?????????	000000000000000000000000000000000000000000000000000000000011????	173
64	?????????????????????????????????????????????????????????????001	0000000000000000000000000000000000000000000000000000000000??????	171
64	???????????????????????????????????????????111111111111111111111	0000000000000000000000000000000000000000000000000000000000??????	136
64	????????????????????????????????????????????????????????????0000	0000000000000000000000000000000000000000000000000000000000??????	127
64	????????????????????????????????????????????????????????????1111	0000000000000000000000000000000000000000000000000000000000??????	105
64	000000000000000000000000000000000000000000000000????????????????	000000000000000000000000000000000000000000000000000000000011????	76
64	??????????????????????????????????????????????????????????????11	0000000000000000000000000000000000000000000000000000000000??????	75
64	000000000000000000000000000000000000000000000000000000000??????1	0000000000000000000000000000000000000000000000000000000000111???	61
64	00000000000000000000000000000????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000??????	61
64	00000000000000000000000000000000000000000000000000000000000?????	0000000000000000000000000000000000000000000000000000000000111???	56
64	0000000000000000000000000000000000??????????????????????????????	00000000000000000000000000000000000000000000000000000000001?????	54
64	0000000000000000000000000000000000000???????????????????????????	00000000000000000000000000000000000000000000000000000000001?????	52
64	00000000000000000000000000000000000000000?000000001?111111111111	00000000000000000000000000000000000000000000000000000000001??0??	47
