# ---
# domain: KnownBits
# op: mlir/Operations/Fshl.mlir
# arity: 3
# seed: null
# lbw: []
# mbw:
# - [8, 22]
# - [16, 19]
# - [32, 204]
# - [64, 366]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	arg_1	arg_2	ideal	count
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011100	????????????????????????????????????????????????????????????????	54274
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111101	????????????????????????????????????????????????????????????????	53916
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001110	????????????????????????????????????????????????????????????????	53865
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010111	????????????????????????????????????????????????????????????????	45165
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011000	????????????????????????????????????????????????????????????????	33336
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100001	????????????????????????????????????????????????????????????????	31442
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	26607
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	24505
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110010	????????????????????????????????????????????????????????????????	22645
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101110	????????????????????????????????????????????????????????????????	21551
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100010	????????????????????????????????????????????????????????????????	21309
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110100	????????????????????????????????????????????????????????????????	20098
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111001	????????????????????????????????????????????????????????????????	15975
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011110	????????????????????????????????????????????????????????????????	13673
64	000?????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111110	????????????????????????????????????????????????????????????????	9375
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110011	????????????????????????????????????????????????????????????????	9354
64	0???????????????????????????????????????????????????????????????	0???????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000101	???????????????????????????????????????????????????????????0????	8957
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	6989
64	????????????????????????????????????????????????????????????????	1111111001100101000110111001110101001011111010111110001101101100	0000000000000000000000000000000000000000000000000000000000001101	???????????????????????????????????????????????????1111111001100	5987
64	????????????????????????????????????????????????????????????????	0111010001100101011001000110001001111001011101000110010101110000	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????0111010001100101	5386
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	5188
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100110	????????????????????????????????????????????????????????????????	4995
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001011	????????????????????????????????????????????????????????????????	4759
64	????????????????????????????????????????????????????????????????	1000010010111100101100101011001110000010101010101010001110110000	0000000000000000000000000000000000000000000000000000000000010101	???????????????????????????????????????????100001001011110010110	3868
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110001	????????????????????????????????????????????????????????????????	3330
64	????????????????????????????????????????????????????????????????	0111010001100101011001000110001001111001011101000110010101110010	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????0111010001100101	3302
64	000?????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	2839
64	011101000110010101100100011000100111100101110100011001010111001?	0111010001100101011001000110001001111001011101000110010101110010	0000000000000000000000000000000000000000000000000000000000010000	01100100011000100111100101110100011001010111001?0111010001100101	2540
64	????????????????????????????????????????????????????????????????	1100000000101010101100000001110010000010010110011001011100000000	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????1100000000101010	2452
64	0000000000000000000000000000000000000000000000000000000000??????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	2215
64	????????????????????????????????????????????????????????????????	0111000001100101011001000110001000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000010000	????????????????????????????????????????????????0111000001100101	1776
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	1710
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100101	????????????????????????????????????????????????????????????????	1677
64	0000000000000000000000000000000000000000000000??????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	1615
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	000000000000000000000000000000000???????????????????????????????	????????????????????????????????????????????????????????????????	1534
64	????????????????????????????????????????????????????????????????	0001101001110001101111011101001000111011000000011001000001001000	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????00011010011100011011110111010010	1520
64	????????????????????????????????????????????????????????????????	1000010010111100101100101011001110000010101010001010001110110000	0000000000000000000000000000000000000000000000000000000000010101	???????????????????????????????????????????100001001011110010110	1320
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000111	????????????????????????????????????????????????????????????????	1312
64	????????????????????????????????????????????????????????????????	1111011001011111010101100111110110111100011000000110100000000000	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????11110110010111110101011001111101	1304
64	000000000000000000000000000000000000000000000000000000000???????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	1288
64	????????????????????????????????????????????????????????????????	1111001001100101000110111010010000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000001101	???????????????????????????????????????????????????1111001001100	1286
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110101	????????????????????????????????????????????????????????????????	1259
64	0000000000000000000000000000000000000000000000000000000?????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	1225
64	00000000000000000000000000000000000000000000000000??????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	1186
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001001	????????????????????????????????????????????????????????????????	1154
64	????????????????????????????????????????????????????????????????	0001101001110001101111011101001000111011000000011001000001000000	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????00011010011100011011110111010010	1146
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	1135
64	00000000000000000000????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	1097
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	1093
64	0000000000??????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	1051
64	0???????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	998
64	00000000000000000000000000000000000000000000000000000000000000??	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	000?????????????????????????????????????????????????????????????	974
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000100	????????????????????????????????????????????????????????????????	968
64	0000000000000000000000??????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	948
64	000000000000000000000000000000000000000000000000????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	892
64	000000000000000000000000000000000000000000000???????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	887
64	000000000000000000000000000000000000????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	886
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	885
64	00000000000000000000000000000000000000??????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	874
64	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	0000000000000000000000000000????????????????????????????????????	818
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100011	????????????????????????????????????????????????????????????????	818
64	0000000000000000000000000000000?????????????????????????????????	0000000000000000000000000000000?????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110000	????????????????0000000000000000000000000000000?????????????????	776
64	00000000000?????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	772
64	00000000000000000000000000000000000000000000000000??????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	771
64	0?0?000?0?????00??00000??0??0???00?00???00?000?00000?0?0?00?0?0?	0?0?000?0?????00??00000??0??0???00?00???00?000?00000?0?0?00?0?0?	0000000000000000000000000000000000000000000000000000000000000101	00?0?????00??00000??0??0???00?00???00?000?00000?0?0?00?0?0?0?0?0	766
64	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	761
64	0000000000000000000000000000000?????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	760
64	000000000000000000000000000000??????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	759
64	000000000000000000000???????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	753
64	000110100111000110111101110100100011101100000001100100000100100?	0001101001110001101111011101001000111011000000011001000001001000	0000000000000000000000000000000000000000000000000000000000100000	0011101100000001100100000100100?00011010011100011011110111010010	745
64	0000000000000000000?????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	744
64	000000000000????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110110	????????????????????????????????????????????????????????????????	744
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	740
64	000000000???????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	734
64	000000000000000000??????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	721
64	01110000011001010110010001100010????????????????????????????????	0111000001100101011001000110001000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000010000	0110010001100010????????????????????????????????0111000001100101	715
64	0000000000000000000000000000000000000000????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	712
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000010001	000000000000000?????????????????????????????????????????????????	710
64	00000000000000000000000000000???????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	703
64	00000000000000000000000000000000000?????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	695
64	00000000????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	692
64	0000000000000000000000000000????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	683
64	0???????????????????????????????0???????????????????????????????	0???????????????????????????????0???????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	0???????????????????????????????0???????????????????????????????	667
64	0000000000000000000000000000000000000???????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	659
64	0000????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	656
64	000000000000000000000000000000000000000000000000000000??????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	642
64	00000000000000000000000000000000000000000000000?????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	635
64	0000000000??????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	626
64	011011110001000110101101001101011010111100010101011100000011011?	0110111100010001101011010011010110101111000101010111000000110110	0000000000000000000000000000000000000000000000000000000000010000	10101101001101011010111100010101011100000011011?0110111100010001	624
64	000000000000000000000000000000??????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	621
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	????????????????????????????????????????????????????????????????	615
64	00000000000000000000????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	604
64	0000000000000000000000000000000000000000????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	598
64	000000000000000000000000000000??????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	589
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101111	????????????????????????????????????????????????????????????????	589
64	????????????????????????????????????????????????????????????????	1111111001100101000110111001110101001011111010111110000000000000	0000000000000000000000000000000000000000000000000000000000001101	???????????????????????????????????????????????????1111111001100	571
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	566
64	????????????????????????????????????????????????????????????????	1000010010111100101100101011001110000010100000001010001100000000	0000000000000000000000000000000000000000000000000000000000010101	???????????????????????????????????????????100001001011110010110	547
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	544
64	000000000000000000000000000000000000000000000000000000000000000?	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001000	0000000000000000000000000000000000000000000000000000000?????????	540
64	0000000000000000000000000000000000000000000000000000????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	536
64	000000000000000000000000000000000000000000??????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	534
64	0111010001100101011001000110001001111001011101000110010101110???	0111010001100101011001000110001001111001011101000110010101110000	0000000000000000000000000000000000000000000000000000000000010000	011001000110001001111001011101000110010101110???0111010001100101	530
64	0000000000000000000000000000000000000000000000000000????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	510
64	0000000000000000000000000000000000000000000000000000000000000???	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	0???????????????????????????????????????????????????????????????	501
64	????????????????????????????????????????????????????????????????	1111111001100101000110111001110101001011111010111110001101100000	0000000000000000000000000000000000000000000000000000000000001101	???????????????????????????????????????????????????1111111001100	496
64	0000000000000000000000000000000000??????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000100000	00??????????????????????????????????????????????????????????????	495
64	00000000000000000000????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	463
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	460
64	000000000000000000000000000000000000000000000000000000000???????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000001000	0000000000000000000000000000000000000000000000000???????????????	450
64	0000000000??????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	450
64	0000000000000000000000000000000000000000000000000???????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	448
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	442
64	0000000000000000000000000000000000??????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	412
64	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	411
64	000000000000000000000000000000000000000000??????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	400
64	0000000000000000000000000000000000??????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	384
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000?????????	????????????????????????????????????????????????????????????????	384
64	00000000000000000000000000000000000000000000000000000000????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	372
64	000000000000????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	369
64	0000000000000000000000??????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	360
64	00000000000000000000000000000000????????????????????????????????	00000000000000000000000000000000????????????????????????????????	0000000000000000000000000000000000000000000000000000000000101000	????????????????????????00000000000000000000000000000000????????	354
64	000110100111000110111101110100100011101100000001100100000100????	0001101001110001101111011101001000111011000000011001000001000000	0000000000000000000000000000000000000000000000000000000000100000	0011101100000001100100000100????00011010011100011011110111010010	343
64	0000000000000000000000000000000000000000000000000000????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	324
64	????????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000011101	????????????????????????????????????????????????????????????????	317
64	00000000000000000000000000000000000000000000000000??????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	308
64	0000000000000000000000000000000000000000????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	303
64	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	299
64	00000000000000000000000000000000000000000000????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	284
64	00000000000000000000000000000000000000000000000000000???????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	281
64	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	0???????????????????????????????????????????????????????????????	277
64	00000000000000000000000000000000000000000000000000000000000000??	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	0000????????????????????????????????????????????????????????????	273
64	000000000000000000000000000000000000000?????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	271
64	011101000110010101100100011000100???????????????????????????????	0111010001100101011001000110001001111001011101000110010101110000	0000000000000000000000000000000000000000000000000000000000010000	01100100011000100???????????????????????????????0111010001100101	267
64	000000000000000000000000000000000000000000000000000?????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	263
64	01110100011001010110010001100010011110010111010001100101011100??	0111010001100101011001000110001001111001011101000110010101110000	0000000000000000000000000000000000000000000000000000000000010000	0110010001100010011110010111010001100101011100??0111010001100101	262
64	000000000000000000000000000000000000????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	254
64	0000000000000000000000??????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	249
64	000000000000????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	248
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	247
64	0000000000000000000000000000000000000000000000??????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	244
64	000000000000000000000000000000??????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	241
64	000000000000000000000000000000000000????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	228
64	0000000000000000????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000000100	000000000000????????????????????????????????????????????????????	216
64	00000000000000000000000000000000000000000???????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	215
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	215
64	00000???????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	215
64	000000000000000000000000000000000000000000000000000000000000????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111100	????????????????????????????????????????????????????????????????	211
64	000000000000000000000000000000??????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	211
64	000000000000000000000000000000000000000000??????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	208
64	0000000000000000000000000000000000000000000?????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	203
64	000000000000000000000000000000000000000000000000????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	202
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000110111	????????????????????????????????????????????????????????????????	195
64	00000000000000000000000000000000000000000000????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	192
64	0000000000000000000000000000000000000000000000??????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	189
64	0000000000000000000000000000000000000000000000000000000?????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	187
64	0000000000000000000000000000000000000000000000000000000?????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111011	????????????????????????????????????????????????????????????????	183
64	????????????????????????????????????????????????????????????????	0001101001110001101111011101001000111011000000011000000000000000	0000000000000000000000000000000000000000000000000000000000100000	????????????????????????????????00011010011100011011110111010010	177
64	000000??????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	176
64	00??????????????????????????????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111010	????????????????????????????????????????????????????????????????	169
64	00000000000000000000000000000000000000??????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111110	????????????????????????????????????????????????????????????????	166
64	000000000000000000000000000000000000000000??????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	165
64	00000000000000000000000000000000????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	165
64	?????????????????????????????????????000000000000000000000000000	?????????????????????????????????????000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000100101	000000000000000000000000000?????????????????????????????????????	162
64	????????????????????????????????????????????????????????????????	???0000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000110	?????????????????????????????????????????????????????????????000	162
64	000000000000000000000000000?????????????????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111111	????????????????????????????????????????????????????????????????	157
64	0000000000000000000000000000000000000000????????????????????????	????????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000111000	????????????????????????????????????????????????????????????????	154
