# ---
# domain: KnownBits
# op: mlir/Operations/PopCount.mlir
# arity: 1
# seed: null
# lbw: []
# mbw:
# - [4, 1]
# - [8, 3]
# - [12, 1]
# - [16, 10]
# - [24, 1]
# - [28, 1]
# - [32, 66]
# - [36, 1]
# - [40, 1]
# - [64, 61]
# - [128, 1]
# hbw: []
# ---
bw	arg_0	ideal	count
64	0000000000000000????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	83
64	0000000000000000000000000000000?????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	80
64	???????????????????????????????????????????????????????????????1	000000000000000000000000000000000000000000000000000000000???????	76
64	00??????????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	74
64	000?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?00	00000000000000000000000000000000000000000000000000000000000?????	58
64	00000000000000000000000000000000000000000000000000000000000000??	00000000000000000000000000000000000000000000000000000000000000??	51
64	000000000000000000000000000000000000000000000000000000??00000000	00000000000000000000000000000000000000000000000000000000000000??	41
64	000000000000000000000000000000000000000000000000????000000000000	0000000000000000000000000000000000000000000000000000000000000???	41
64	00000000000000000000000000000000000000000000000?????????????????	00000000000000000000000000000000000000000000000000000000000?????	37
64	00000000000000000000000000000000000000000000000000000000???00000	00000000000000000000000000000000000000000000000000000000000000??	32
64	00000000000000000000000000000000000000000000000000000000000?????	0000000000000000000000000000000000000000000000000000000000000???	30
64	0000000000000000000000000000000000000000000000??????????????????	00000000000000000000000000000000000000000000000000000000000?????	29
64	0000000000??????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	29
64	0????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000??????	24
64	0000000000000000000000000000000000000000????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	22
64	0000000000000000000000000000000000000000000?????????????????????	00000000000000000000000000000000000000000000000000000000000?????	19
64	00000000000000000000000000000000?????????????????????????????000	00000000000000000000000000000000000000000000000000000000000?????	19
64	0000000000000000000000000000000000000000000000000000??00??000000	0000000000000000000000000000000000000000000000000000000000000???	18
64	?????????????????????????????????0000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000??????	17
64	0000000000000000000000000000000000000000000000000???????????????	000000000000000000000000000000000000000000000000000000000000????	15
64	0000000000000000000000000000000000??00000000000000000000000000?0	00000000000000000000000000000000000000000000000000000000000000??	15
64	000000000000000000000000000000000000000000000000000000000???????	0000000000000000000000000000000000000000000000000000000000000???	12
64	000000??????????????????????????????????????????????????????????	0000000000000000000000000000000000000000000000000000000000??????	12
64	000?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0?0000	00000000000000000000000000000000000000000000000000000000000?????	12
64	0??????????????????????????????????????????????????????????????0	0000000000000000000000000000000000000000000000000000000000??????	12
64	?????????????????????????????????????????????????????????????000	0000000000000000000000000000000000000000000000000000000000??????	12
64	0000000000000000000000000000000000000000000000000000000000?0??00	00000000000000000000000000000000000000000000000000000000000000??	10
64	00000000000000000000000000000000000000000000???0000?000000000000	0000000000000000000000000000000000000000000000000000000000000???	9
64	000000000000000000000000000000000000000000000000000000??????????	000000000000000000000000000000000000000000000000000000000000????	8
64	0000000000000000000000000000000000??????????????????????????????	00000000000000000000000000000000000000000000000000000000000?????	8
64	00000000000000000000000000000000000000000???????????????????????	00000000000000000000000000000000000000000000000000000000000?????	6
